,State,County,ChronicConditionAmount,Beneficiaries,Prevalence,PerCapitaMedicareSpending
102,AL,DeKalb,4 to 5,2610,25.93,9988.7519
103,AL,DeKalb,6+,2102,20.88,25964.6983
104,AL,Elmore,0 to 1,2395,28.38,2312.8117
105,AL,Elmore,2 to 3,2447,29.0,5833.2203
106,AL,Elmore,4 to 5,1995,23.64,10984.1073
107,AL,Elmore,6+,1602,18.98,28233.9034
108,AL,Escambia,0 to 1,1324,26.0,2443.9238
109,AL,Escambia,2 to 3,1417,27.82,5584.5774
110,AL,Escambia,4 to 5,1263,24.8,10984.9354
111,AL,Escambia,6+,1089,21.38,30472.0352
112,AL,Etowah,0 to 1,3428,24.44,2263.4194
113,AL,Etowah,2 to 3,3538,25.22,5893.9375
114,AL,Etowah,4 to 5,3362,23.97,10582.3909
115,AL,Etowah,6+,3698,26.37,30716.1788
116,AL,Fayette,0 to 1,779,23.31,1741.18
117,AL,Fayette,2 to 3,878,26.27,5733.6652
118,AL,Fayette,4 to 5,821,24.57,9541.8952
119,AL,Fayette,6+,864,25.85,26348.9982
120,AL,Franklin,0 to 1,1143,22.5,2024.7041
121,AL,Franklin,2 to 3,1488,29.29,5286.5046
122,AL,Franklin,4 to 5,1291,25.41,9958.5059
123,AL,Franklin,6+,1159,22.81,28306.0881
124,AL,Geneva,0 to 1,1116,24.16,2288.3038
125,AL,Geneva,2 to 3,1304,28.23,5194.6282
126,AL,Geneva,4 to 5,1145,24.79,9653.8986
127,AL,Geneva,6+,1054,22.82,27491.0919
128,AL,Greene,0 to 1,458,27.54,1655.4064
129,AL,Greene,2 to 3,483,29.04,5081.5356
130,AL,Greene,4 to 5,390,23.45,10575.9658
131,AL,Greene,6+,332,19.96,28279.7533
132,AL,Hale,0 to 1,744,26.3,1615.0156
133,AL,Hale,2 to 3,822,29.06,5125.7571
134,AL,Hale,4 to 5,697,24.64,10234.4456
135,AL,Hale,6+,566,20.01,29760.8125
136,AL,Henry,0 to 1,641,24.22,2471.7177
137,AL,Henry,2 to 3,756,28.56,6864.9483
138,AL,Henry,4 to 5,703,26.56,9382.01
139,AL,Henry,6+,547,20.66,26903.0689
140,AL,Houston,0 to 1,3340,23.58,2206.4444
141,AL,Houston,2 to 3,4089,28.86,5707.8617
142,AL,Houston,4 to 5,3639,25.69,10433.6735
143,AL,Houston,6+,3098,21.87,28510.6817
144,AL,Jackson,0 to 1,1961,22.43,2348.2887
145,AL,Jackson,2 to 3,2439,27.9,5976.6125
146,AL,Jackson,4 to 5,2369,27.1,10082.8348
147,AL,Jackson,6+,1974,22.58,27433.3559
148,AL,Jefferson,0 to 1,14997,29.81,2037.8844
149,AL,Jefferson,2 to 3,14248,28.32,6424.7457
150,AL,Jefferson,4 to 5,11803,23.46,12160.4066
151,AL,Jefferson,6+,9262,18.41,32336.8068
152,AL,Lamar,0 to 1,791,25.86,1729.0651
153,AL,Lamar,2 to 3,895,29.26,4488.5716
154,AL,Lamar,4 to 5,741,24.22,10732.6914
155,AL,Lamar,6+,632,20.66,27547.8694
156,AL,Lauderdale,0 to 1,3593,24.26,2296.9253
157,AL,Lauderdale,2 to 3,4509,30.45,5242.4465
158,AL,Lauderdale,4 to 5,3813,25.75,9909.0757
159,AL,Lauderdale,6+,2895,19.55,26641.3638
160,AL,Lawrence,0 to 1,1067,20.98,1918.043
161,AL,Lawrence,2 to 3,1412,27.76,6130.4773
162,AL,Lawrence,4 to 5,1387,27.27,8712.2672
163,AL,Lawrence,6+,1220,23.99,23931.8955
164,AL,Lee,0 to 1,3750,27.52,1767.5435
165,AL,Lee,2 to 3,4082,29.96,5333.2041
166,AL,Lee,4 to 5,3319,24.36,9755.9766
167,AL,Lee,6+,2473,18.15,25779.2283
168,AL,Limestone,0 to 1,2547,23.23,2492.0248
169,AL,Limestone,2 to 3,3384,30.87,6195.7252
170,AL,Limestone,4 to 5,2848,25.98,11134.4583
171,AL,Limestone,6+,2183,19.91,27552.3493
172,AL,Lowndes,0 to 1,302,28.63,1763.0312
173,AL,Lowndes,2 to 3,298,28.25,5672.4219
174,AL,Lowndes,4 to 5,260,24.64,13426.2445
175,AL,Lowndes,6+,195,18.48,32666.129
176,AL,Macon,0 to 1,586,28.17,1395.4184
177,AL,Macon,2 to 3,580,27.88,5951.7491
178,AL,Macon,4 to 5,518,24.9,12336.8037
179,AL,Macon,6+,396,19.04,26131.8504
180,AL,Madison,0 to 1,9500,23.28,2368.0729
181,AL,Madison,2 to 3,12373,30.32,5881.3629
182,AL,Madison,4 to 5,10904,26.72,10941.7299
183,AL,Madison,6+,8025,19.67,26814.0865
184,AL,Marengo,0 to 1,1099,27.64,1805.841
185,AL,Marengo,2 to 3,1053,26.48,5619.4347
186,AL,Marengo,4 to 5,991,24.92,10602.8563
187,AL,Marengo,6+,833,20.95,26418.9826
188,AL,Marion,0 to 1,1227,22.99,2076.6599
189,AL,Marion,2 to 3,1559,29.21,6008.9475
190,AL,Marion,4 to 5,1393,26.1,9260.3355
191,AL,Marion,6+,1158,21.7,26947.6568
192,AL,Marshall,0 to 1,3455,25.12,2174.0749
193,AL,Marshall,2 to 3,3896,28.33,5472.9266
194,AL,Marshall,4 to 5,3403,24.74,10773.2042
195,AL,Marshall,6+,3000,21.81,27431.6592
196,AL,Mobile,0 to 1,9268,29.29,2570.5212
197,AL,Mobile,2 to 3,8433,26.66,6406.0511
198,AL,Mobile,4 to 5,7498,23.7,11714.3867
199,AL,Mobile,6+,6438,20.35,29886.0091
200,AL,Monroe,0 to 1,1109,30.87,1739.5426
201,AL,Monroe,2 to 3,1071,29.81,6070.632
202,AL,Monroe,4 to 5,835,23.24,13493.068
203,AL,Monroe,6+,578,16.09,31919.5255
204,AL,Montgomery,0 to 1,5812,30.57,1939.7521
205,AL,Montgomery,2 to 3,5581,29.35,5765.929
206,AL,Montgomery,4 to 5,4374,23.0,11620.66
207,AL,Montgomery,6+,3247,17.08,34605.5665
208,AL,Morgan,0 to 1,4062,23.6,2403.1157
209,AL,Morgan,2 to 3,5098,29.62,5819.1403
210,AL,Morgan,4 to 5,4489,26.08,10800.4344
211,AL,Morgan,6+,3565,20.71,27241.5298
212,AL,Perry,0 to 1,455,24.78,1100.1938
213,AL,Perry,2 to 3,504,27.45,4953.6947
214,AL,Perry,4 to 5,458,24.95,10130.3846
215,AL,Perry,6+,419,22.82,28373.0942
216,AL,Pickens,0 to 1,816,22.27,2282.1679
217,AL,Pickens,2 to 3,1165,31.8,5363.3565
218,AL,Pickens,4 to 5,943,25.74,9765.8443
219,AL,Pickens,6+,740,20.2,30843.0832
220,AL,Pike,0 to 1,883,25.73,1912.7137
221,AL,Pike,2 to 3,1000,29.14,5344.5486
222,AL,Pike,4 to 5,886,25.82,11277.1646
223,AL,Pike,6+,663,19.32,28244.7877
224,AL,Randolph,0 to 1,1039,26.13,2276.4785
225,AL,Randolph,2 to 3,1053,26.48,6120.9519
226,AL,Randolph,4 to 5,1028,25.86,9962.9681
227,AL,Randolph,6+,856,21.53,26436.6525
228,AL,Russell,0 to 1,1730,25.79,1398.6808
229,AL,Russell,2 to 3,1753,26.13,5089.3694
230,AL,Russell,4 to 5,1740,25.94,9655.5332
231,AL,Russell,6+,1486,22.15,26654.556
232,AL,Shelby,0 to 1,4420,27.4,2339.3041
233,AL,Shelby,2 to 3,4831,29.95,6183.0016
234,AL,Shelby,4 to 5,3799,23.55,10911.0042
235,AL,Shelby,6+,3079,19.09,30736.2304
236,AL,St. Clair,0 to 1,1912,25.79,2165.856
237,AL,St. Clair,2 to 3,2098,28.3,6065.0472
238,AL,St. Clair,4 to 5,1852,24.98,10721.497
239,AL,St. Clair,6+,1551,20.92,28789.2095
240,AL,Sumter,0 to 1,577,24.76,2213.0781
241,AL,Sumter,2 to 3,728,31.24,5112.6464
242,AL,Sumter,4 to 5,635,27.25,10938.6955
243,AL,Sumter,6+,390,16.74,32414.3912
244,AL,Talladega,0 to 1,2731,28.5,2231.8769
245,AL,Talladega,2 to 3,2533,26.43,6351.9682
246,AL,Talladega,4 to 5,2311,24.11,11580.1268
247,AL,Talladega,6+,2009,20.96,28768.6869
248,AL,Tallapoosa,0 to 1,1826,27.2,1945.5702
249,AL,Tallapoosa,2 to 3,1818,27.08,5654.8958
250,AL,Tallapoosa,4 to 5,1565,23.31,10322.9509
251,AL,Tallapoosa,6+,1504,22.4,26024.5646
252,AL,Tuscaloosa,0 to 1,4544,24.05,1755.9295
253,AL,Tuscaloosa,2 to 3,5225,27.65,5338.5777
254,AL,Tuscaloosa,4 to 5,4861,25.73,10287.835
255,AL,Tuscaloosa,6+,4264,22.57,28196.9748
260,AL,Walker,0 to 1,1545,19.17,2758.278
261,AL,Walker,2 to 3,1991,24.7,5053.936
262,AL,Walker,4 to 5,2237,27.75,8744.1774
263,AL,Walker,6+,2288,28.38,23111.1298
264,AL,Washington,0 to 1,848,30.93,2223.8318
265,AL,Washington,2 to 3,779,28.41,7075.2862
266,AL,Washington,4 to 5,661,24.11,12510.6119
267,AL,Washington,6+,454,16.56,30303.8156
268,AL,Wilcox,0 to 1,724,30.83,2856.9824
269,AL,Wilcox,2 to 3,721,30.71,6366.2403
270,AL,Wilcox,4 to 5,533,22.7,11320.1258
271,AL,Wilcox,6+,370,15.76,31858.5615
272,AL,Winston,0 to 1,911,22.96,1721.0948
273,AL,Winston,2 to 3,1082,27.28,5275.9245
274,AL,Winston,4 to 5,1034,26.07,9181.7014
275,AL,Winston,6+,940,23.7,25264.8809
280,AK,Aleutians East,0 to 1,55,47.01,2190.6569
281,AK,Aleutians East,2 to 3,32,27.35,7954.3647
282,AK,Aleutians East,4 to 5,18,15.38,15182.9517
283,AK,Aleutians East,6+,12,10.26,17779.7258
284,AK,Aleutians West,0 to 1,72,53.33,985.2883
285,AK,Aleutians West,2 to 3,36,26.67,6004.7775
286,AK,Aleutians West,4 to 5,16,11.85,13663.2081
287,AK,Aleutians West,6+,11,8.15,32756.0955
288,AK,Anchorage,0 to 1,14792,46.92,1867.0698
289,AK,Anchorage,2 to 3,8752,27.76,6098.2156
290,AK,Anchorage,4 to 5,4852,15.39,12280.381
291,AK,Anchorage,6+,3128,9.92,30849.1285
292,AK,Bethel,0 to 1,674,54.71,2014.5302
293,AK,Bethel,2 to 3,331,26.87,6702.1373
294,AK,Bethel,4 to 5,162,13.15,21747.5952
295,AK,Bethel,6+,65,5.28,37750.5003
296,AK,Bristol Bay,0 to 1,57,48.72,1241.3004
297,AK,Bristol Bay,2 to 3,38,32.48,6287.8829
298,AK,Bristol Bay,4 to 5,11,9.4,25705.6818
299,AK,Bristol Bay,6+,11,9.4,82134.6345
304,AK,Dillingham,0 to 1,208,51.23,1811.5643
305,AK,Dillingham,2 to 3,115,28.33,7015.5063
306,AK,Dillingham,4 to 5,56,13.79,24748.0132
307,AK,Dillingham,6+,27,6.65,43276.4841
308,AK,Fairbanks North Star,0 to 1,5057,48.2,1628.4787
309,AK,Fairbanks North Star,2 to 3,3031,28.89,6118.6656
310,AK,Fairbanks North Star,4 to 5,1546,14.74,10835.0474
311,AK,Fairbanks North Star,6+,858,8.18,23900.4697
312,AK,Haines,0 to 1,284,52.4,2549.7515
313,AK,Haines,2 to 3,153,28.23,10527.8142
314,AK,Haines,4 to 5,67,12.36,17937.7861
315,AK,Haines,6+,38,7.01,34015.7389
316,AK,Hoonah-Angoon,0 to 1,195,62.7,2062.8394
317,AK,Hoonah-Angoon,2 to 3,71,22.83,12174.527
318,AK,Hoonah-Angoon,4 to 5,33,10.61,21852.833
319,AK,Hoonah-Angoon,6+,12,3.86,64913.8558
320,AK,Juneau,0 to 1,2203,49.98,2389.3862
321,AK,Juneau,2 to 3,1336,30.31,5914.3102
322,AK,Juneau,4 to 5,599,13.59,14864.8666
323,AK,Juneau,6+,270,6.13,32933.8404
324,AK,Kenai Peninsula,0 to 1,5012,48.51,2052.1816
325,AK,Kenai Peninsula,2 to 3,2901,28.08,6693.1238
326,AK,Kenai Peninsula,4 to 5,1509,14.61,13225.5472
327,AK,Kenai Peninsula,6+,909,8.8,31578.1417
328,AK,Ketchikan Gateway,0 to 1,952,43.16,2289.5141
329,AK,Ketchikan Gateway,2 to 3,694,31.46,7150.3365
330,AK,Ketchikan Gateway,4 to 5,333,15.1,12987.326
331,AK,Ketchikan Gateway,6+,227,10.29,33176.9668
332,AK,Kodiak Island,0 to 1,686,49.28,1536.6974
333,AK,Kodiak Island,2 to 3,403,28.95,8341.1845
334,AK,Kodiak Island,4 to 5,196,14.08,13366.2255
335,AK,Kodiak Island,6+,107,7.69,38419.6022
340,AK,Lake and Peninsula,0 to 1,69,46.62,1164.5604
341,AK,Lake and Peninsula,2 to 3,42,28.38,7537.2286
342,AK,Lake and Peninsula,4 to 5,21,14.19,16808.4629
343,AK,Lake and Peninsula,6+,16,10.81,33540.7844
344,AK,Matanuska-Susitna,0 to 1,5457,43.91,1826.9183
345,AK,Matanuska-Susitna,2 to 3,3464,27.87,5747.1591
346,AK,Matanuska-Susitna,4 to 5,2131,17.15,10451.5696
347,AK,Matanuska-Susitna,6+,1377,11.08,27401.4578
348,AK,Nome,0 to 1,350,48.95,2422.8759
349,AK,Nome,2 to 3,203,28.39,13510.8201
350,AK,Nome,4 to 5,97,13.57,19650.2858
351,AK,Nome,6+,65,9.09,41561.462
352,AK,North Slope,0 to 1,184,44.44,4693.4455
353,AK,North Slope,2 to 3,117,28.26,13130.8139
354,AK,North Slope,4 to 5,70,16.91,24532.7513
355,AK,North Slope,6+,43,10.39,44127.9423
356,AK,Northwest Arctic,0 to 1,195,43.24,2184.3252
357,AK,Northwest Arctic,2 to 3,112,24.83,7333.8432
358,AK,Northwest Arctic,4 to 5,92,20.4,12256.1201
359,AK,Northwest Arctic,6+,52,11.53,27987.6598
360,AK,Petersburg,0 to 1,395,54.86,2673.9221
361,AK,Petersburg,2 to 3,183,25.42,9976.646
362,AK,Petersburg,4 to 5,90,12.5,19924.542
363,AK,Petersburg,6+,52,7.22,39883.2037
364,AK,Prince of Wales-Hyder,0 to 1,381,45.57,2568.9613
365,AK,Prince of Wales-Hyder,2 to 3,250,29.9,6804.9761
366,AK,Prince of Wales-Hyder,4 to 5,133,15.91,13830.4574
367,AK,Prince of Wales-Hyder,6+,72,8.61,30623.6907
372,AK,Sitka,0 to 1,554,44.07,4422.2785
373,AK,Sitka,2 to 3,407,32.38,9934.371
374,AK,Sitka,4 to 5,180,14.32,22484.4294
375,AK,Sitka,6+,116,9.23,43582.6408
376,AK,Skagway,0 to 1,139,51.87,1843.7616
377,AK,Skagway,2 to 3,73,27.24,10421.7712
378,AK,Skagway,4 to 5,34,12.69,10043.8897
379,AK,Skagway,6+,22,8.21,58862.0909
384,AK,Southeast Fairbanks,0 to 1,622,56.8,1287.8502
385,AK,Southeast Fairbanks,2 to 3,287,26.21,5908.3863
386,AK,Southeast Fairbanks,4 to 5,121,11.05,13260.9498
387,AK,Southeast Fairbanks,6+,65,5.94,22521.0214
392,AK,Valdez-Cordova,0 to 1,733,58.69,2491.9522
393,AK,Valdez-Cordova,2 to 3,295,23.62,6845.9373
394,AK,Valdez-Cordova,4 to 5,148,11.85,16119.7453
395,AK,Valdez-Cordova,6+,73,5.84,53917.7967
400,AK,Wrangell,0 to 1,209,44.47,1631.3925
401,AK,Wrangell,2 to 3,141,30.0,8372.447
402,AK,Wrangell,4 to 5,70,14.89,14833.9223
403,AK,Wrangell,6+,50,10.64,38548.9524
408,AK,Yakutat,0 to 1,41,39.42,1095.4946
409,AK,Yakutat,2 to 3,29,27.88,6600.4162
410,AK,Yakutat,4 to 5,17,16.35,15198.0706
411,AK,Yakutat,6+,17,16.35,55417.2541
412,AK,Yukon-Koyukuk,0 to 1,347,48.94,1765.2764
413,AK,Yukon-Koyukuk,2 to 3,207,29.2,8153.958
414,AK,Yukon-Koyukuk,4 to 5,99,13.96,11457.4139
415,AK,Yukon-Koyukuk,6+,56,7.9,20574.4955
420,AZ,Apache,0 to 1,3765,40.43,2449.2255
421,AZ,Apache,2 to 3,2779,29.84,6420.1212
422,AZ,Apache,4 to 5,1784,19.16,13945.1599
423,AZ,Apache,6+,984,10.57,36265.8083
424,AZ,Cochise,0 to 1,7774,40.17,1904.609
425,AZ,Cochise,2 to 3,5521,28.52,5236.0019
426,AZ,Cochise,4 to 5,3709,19.16,11070.7787
427,AZ,Cochise,6+,2351,12.15,29302.0584
428,AZ,Coconino,0 to 1,6357,42.44,2135.9319
429,AZ,Coconino,2 to 3,4553,30.4,6118.7421
430,AZ,Coconino,4 to 5,2616,17.46,11878.95
431,AZ,Coconino,6+,1453,9.7,31340.9069
432,AZ,Gila,0 to 1,4818,36.81,2347.1294
433,AZ,Gila,2 to 3,4029,30.78,6238.777
434,AZ,Gila,4 to 5,2570,19.63,12010.1484
435,AZ,Gila,6+,1673,12.78,30280.0176
436,AZ,Graham,0 to 1,1351,41.31,1895.9966
437,AZ,Graham,2 to 3,967,29.57,5863.9173
438,AZ,Graham,4 to 5,605,18.5,11262.6436
439,AZ,Graham,6+,347,10.61,29794.4924
440,AZ,Greenlee,0 to 1,412,42.34,1370.9281
441,AZ,Greenlee,2 to 3,281,28.88,6100.3125
442,AZ,Greenlee,4 to 5,163,16.75,12515.6638
443,AZ,Greenlee,6+,117,12.02,28748.121
444,AZ,La Paz,0 to 1,1459,38.03,1916.3965
445,AZ,La Paz,2 to 3,1046,27.27,5550.9294
446,AZ,La Paz,4 to 5,796,20.75,14521.0876
447,AZ,La Paz,6+,535,13.95,32984.5568
448,AZ,Maricopa,0 to 1,107927,32.08,2288.3258
449,AZ,Maricopa,2 to 3,101384,30.13,6325.572
450,AZ,Maricopa,4 to 5,74955,22.28,11669.7641
451,AZ,Maricopa,6+,52212,15.52,29402.9248
452,AZ,Mohave,0 to 1,12821,31.77,1792.0358
453,AZ,Mohave,2 to 3,11938,29.58,5221.6467
454,AZ,Mohave,4 to 5,9019,22.35,10080.4939
455,AZ,Mohave,6+,6583,16.31,25365.4622
456,AZ,Navajo,0 to 1,6529,39.44,1997.8181
457,AZ,Navajo,2 to 3,4964,29.99,6314.4362
458,AZ,Navajo,4 to 5,3201,19.34,12874.0893
459,AZ,Navajo,6+,1860,11.24,33621.8855
460,AZ,Pima,0 to 1,35658,36.08,2020.7141
461,AZ,Pima,2 to 3,30599,30.96,5933.4552
462,AZ,Pima,4 to 5,20293,20.53,11056.5047
463,AZ,Pima,6+,12287,12.43,27727.6739
464,AZ,Pinal,0 to 1,12601,32.4,2049.7953
465,AZ,Pinal,2 to 3,11723,30.15,6337.7205
466,AZ,Pinal,4 to 5,8885,22.85,11455.4298
467,AZ,Pinal,6+,5679,14.6,30271.3461
468,AZ,Santa Cruz,0 to 1,1628,49.32,1534.7134
469,AZ,Santa Cruz,2 to 3,926,28.05,5886.9629
470,AZ,Santa Cruz,4 to 5,487,14.75,10945.4739
471,AZ,Santa Cruz,6+,260,7.88,25334.8337
476,AZ,Yavapai,0 to 1,18738,36.51,2017.7122
477,AZ,Yavapai,2 to 3,15966,31.11,5787.5199
478,AZ,Yavapai,4 to 5,10432,20.32,10626.2654
479,AZ,Yavapai,6+,6192,12.06,25112.9735
480,AZ,Yuma,0 to 1,7156,29.69,1643.8342
481,AZ,Yuma,2 to 3,6852,28.43,5443.771
482,AZ,Yuma,4 to 5,5759,23.89,10428.6164
483,AZ,Yuma,6+,4338,18.0,28881.1633
488,AR,Arkansas,0 to 1,1217,36.22,1805.659
489,AR,Arkansas,2 to 3,1032,30.71,5680.3675
490,AR,Arkansas,4 to 5,668,19.88,13429.1235
491,AR,Arkansas,6+,443,13.18,30904.8985
492,AR,Ashley,0 to 1,1248,29.02,1812.1077
493,AR,Ashley,2 to 3,1254,29.16,6208.8163
494,AR,Ashley,4 to 5,1008,23.44,11969.1462
495,AR,Ashley,6+,790,18.37,30497.9954
496,AR,Baxter,0 to 1,3054,30.01,2209.8053
497,AR,Baxter,2 to 3,3257,32.0,6033.8137
498,AR,Baxter,4 to 5,2322,22.81,11396.7961
499,AR,Baxter,6+,1545,15.18,27525.5614
500,AR,Benton,0 to 1,7372,30.04,1930.2739
501,AR,Benton,2 to 3,7053,28.74,5783.0273
502,AR,Benton,4 to 5,5697,23.21,10428.3803
503,AR,Benton,6+,4420,18.01,28319.2744
504,AR,Boone,0 to 1,2321,32.7,1849.1731
505,AR,Boone,2 to 3,2119,29.85,5342.1841
506,AR,Boone,4 to 5,1477,20.81,10932.2594
507,AR,Boone,6+,1181,16.64,26019.099
508,AR,Bradley,0 to 1,586,27.79,1665.4745
509,AR,Bradley,2 to 3,632,29.97,5881.6279
510,AR,Bradley,4 to 5,477,22.62,12334.4666
511,AR,Bradley,6+,414,19.63,31661.5292
512,AR,Calhoun,0 to 1,266,30.43,2107.0888
513,AR,Calhoun,2 to 3,263,30.09,5958.5001
514,AR,Calhoun,4 to 5,204,23.34,11735.5058
515,AR,Calhoun,6+,141,16.13,25232.1313
516,AR,Carroll,0 to 1,1645,37.05,1668.4386
517,AR,Carroll,2 to 3,1370,30.86,4901.3986
518,AR,Carroll,4 to 5,857,19.3,11252.235
519,AR,Carroll,6+,568,12.79,30924.3081
520,AR,Chicot,0 to 1,526,26.96,2279.4187
521,AR,Chicot,2 to 3,535,27.42,5077.5048
522,AR,Chicot,4 to 5,508,26.04,11426.1651
523,AR,Chicot,6+,382,19.58,35432.7073
524,AR,Clark,0 to 1,1166,35.84,1790.8127
525,AR,Clark,2 to 3,1038,31.91,6143.8327
526,AR,Clark,4 to 5,658,20.23,11781.7223
527,AR,Clark,6+,391,12.02,37234.2632
528,AR,Clay,0 to 1,987,29.92,1999.2939
529,AR,Clay,2 to 3,973,29.49,6195.0466
530,AR,Clay,4 to 5,739,22.4,12369.7592
531,AR,Clay,6+,600,18.19,32768.1744
532,AR,Cleburne,0 to 1,2041,32.31,1895.703
533,AR,Cleburne,2 to 3,1924,30.46,5312.7683
534,AR,Cleburne,4 to 5,1421,22.49,10322.6241
535,AR,Cleburne,6+,931,14.74,28922.706
536,AR,Cleveland,0 to 1,414,26.83,1498.0582
537,AR,Cleveland,2 to 3,482,31.24,5216.3235
538,AR,Cleveland,4 to 5,358,23.2,13670.0999
539,AR,Cleveland,6+,289,18.73,35648.6788
